date,planned_consumption,actual_consumption,planned_generation,actual_generation,average_price
2022-01-01 00:00:00,4076,4051,3344,3332,935
2022-01-01 01:00:00,4107,4124,3163,3161,863
2022-01-01 02:00:00,4063,4133,3266,3255,897
2022-01-01 03:00:00,3986,4024,3262,3259,896
2022-01-01 04:00:00,4046,3994,3164,3161,867
2022-01-01 05:00:00,4024,3866,3161,3162,838
2022-01-01 06:00:00,3984,3938,3163,3162,637
2022-01-01 07:00:00,4002,4045,3166,3164,633
2022-01-01 08:00:00,4010,3974,3167,3164,673
2022-01-01 09:00:00,4104,4044,3249,3241,661
2022-01-01 10:00:00,4076,3979,3162,3161,609
2022-01-01 11:00:00,4055,4070,3243,3243,669
2022-01-01 12:00:00,4079,4131,3244,3235,803
2022-01-01 13:00:00,4188,4095,3351,3333,892
2022-01-01 14:00:00,4199,4223,3405,3398,966
2022-01-01 15:00:00,4263,4150,3410,3396,976
2022-01-01 16:00:00,4239,4093,3401,3397,959
2022-01-01 17:00:00,4258,4235,3374,3363,947
2022-01-01 18:00:00,4217,4277,3189,3183,886
2022-01-01 19:00:00,4073,4330,3167,3163,815
2022-01-01 20:00:00,4107,4174,3134,3137,570
2022-01-01 21:00:00,4047,4135,3134,3128,404
2022-01-01 22:00:00,3979,4030,3143,3120,2
2022-01-02 00:00:00,4056,3926,3302,3299,932
2022-01-02 01:00:00,4038,3920,3302,3302,893
2022-01-02 02:00:00,4034,3869,3218,3223,895
2022-01-02 03:00:00,3936,3996,3157,3174,891
2022-01-02 04:00:00,3996,3982,3292,3297,924
2022-01-02 05:00:00,3960,4140,3401,3409,948
2022-01-02 06:00:00,4036,4210,3354,3366,952
2022-01-02 07:00:00,4201,4185,3399,3402,978
2022-01-02 08:00:00,4308,4275,3381,3400,1164
2022-01-02 09:00:00,4325,4279,3372,3385,1017
2022-01-02 10:00:00,4286,4345,3360,3376,1214
2022-01-02 11:00:00,4268,4356,3402,3403,1285
2022-01-02 12:00:00,4308,4160,3405,3401,1293
2022-01-02 13:00:00,4331,4315,3383,3392,1314
2022-01-02 14:00:00,4308,4350,3380,3385,1336
2022-01-02 15:00:00,4361,4352,3385,3400,1345
2022-01-02 16:00:00,4341,4385,3391,3398,1339
2022-01-02 17:00:00,4309,4271,3397,3403,1339
2022-01-02 18:00:00,4293,4343,3399,3413,1318
2022-01-02 19:00:00,4268,4303,3356,3364,1134
2022-01-02 20:00:00,4233,4151,3402,3401,1114
2022-01-02 21:00:00,4164,4128,3347,3362,902
2022-01-02 22:00:00,4105,4087,3091,3097,8
2022-01-03 00:00:00,4048,4057,3246,3098,920
2022-01-03 01:00:00,4029,4115,3222,3100,849
2022-01-03 02:00:00,4034,4022,3223,3103,843
2022-01-03 03:00:00,4048,3980,3222,3075,830
2022-01-03 04:00:00,4060,3974,3417,3383,12
2022-01-03 05:00:00,4091,4181,3474,3463,933
2022-01-03 06:00:00,4198,4341,3554,3544,1013
